ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
8130;;Rivière De L'Est;-21.120063,55.758932;;;;0;;;
2430;;Grande Ravine;-21.128843,55.269566;;;;0;;;
8330;;Chemin De Ceinture;-21.080735,55.690248;;;;0;;;
2532;;Ferme Corail;-21.151668,55.279181;;;;0;;;
8420;;Poste/Mairie Ste-Anne;-21.081015,55.745829;;;;0;;;
2623;;Piton Eglise;-21.218827,55.312071;;;;0;;;
91030;;Grande Chaloupe;-20.895914,55.37635;;;;0;;;
2630;;Deux Chemins;-21.226929,55.324215;;;;0;;;
91050;;Jardin De L'Etat;-20.885635,55.45147;;;;0;;;
2631;;Stella;-21.205032,55.295183;;;;0;;;
91120;;Météo;-20.895131,55.494492;;;;0;;;
4021;;Sentier Ady;-21.233885,55.330048;;;;0;;;
91130;;Technopole;-20.902057,55.503627;;;;0;;;
4031;;Chemin Maurice;-21.251336,55.343002;;;;0;;;
91220;;Aéroport R. Garros;-20.89229,55.51252;;;;0;;;
4032;;Ferblantier;-21.248089,55.338293;;;;0;;;
91230;;Gillot;-20.89567,55.510795;;;;0;;;
4121;;Mairie De L'Etang-Salé;-21.265588,55.367042;;;;0;;;
91231;;Lastic-La Mare;-20.89319,55.53311;;;;0;;;
4122;;RDT Etang-Salé;-21.265082,55.336836;;;;0;;;
91251;;H. De Ville Ste-Marie;-20.896029,55.549693;;;;0;;;
4321;;Aéroport Pierrefonds;-21.320105,55.429021;;;;0;;;
91320;;Cimetière;-20.903485,55.601908;;;;0;;;
4330;;Aérodrome;-21.309237,55.432689;;;;0;;;
91321;;Rond Point La Marine;-20.915635,55.619822;;;;0;;;
4331;;Pierrefonds;-21.303423,55.430481;;;;0;;;
91323;;Test1;-20.902492,55.59601;;;;0;;;
4421;;Parc Relais;-21.332327,55.456155;;;;0;;;
91324;;Test3;-20.898215,55.577838;;;;0;;;
4422;;Stade Terre Sainte;-21.345996,55.49155;;;;0;;;
92110;;P. Echanges Le Port;-20.938532,55.297135;;;;0;;;
4530;;Grande Anse;-21.365228,55.547916;;;;0;;;
92120;;R.N.7;-20.954745,55.309297;;;;0;;;
4532;;Piton Goyaves;-21.322362,55.554206;;;;0;;;
92122;;Clinique Flamboyants;-20.947078,55.303763;;;;0;;;
6029;;Gare Routière Entre Deux;-21.248437,55.465372;;;;0;;;
92123;;Gervais Barret;-20.939939,55.304814;;;;0;;;
6030;;Fanjan;-21.26885,55.464343;;;;0;;;
92130;;Les Vilebrequins;-20.944587,55.316652;;;;0;;;
6133;;Ecole Du 19ème;-21.238043,55.542154;;;;0;;;
92150;;Sacré Coeur;-20.956454,55.312457;;;;0;;;
6210;;Gare St-Joseph;-21.378825,55.621162;;;;0;;;
92210;;Gare De St-Paul;-21.009513,55.274624;;;;0;;;
6231;;Lycée Agricole;-21.380253,55.608124;;;;0;;;
92230;;Hôpital G. Martin;-21.013475,55.269826;;;;0;;;
6330;;Cte. Multiservices;-21.380358,55.650553;;;;0;;;
92232;;Cambaie;-20.963902,55.294131;;;;0;;;
6420;;Mairie De St-Philippe;-21.358342,55.769011;;;;0;;;
92321;;Boucan Canot;-21.030159,55.22586;;;;0;;;
6430;;Souffleur D'Arbonne;-21.36845,55.735763;;;;0;;;
92324;;RDT L'éperon;-21.042985,55.247986;;;;0;;;
6432;;Pointe Du Tremblet;-21.291546,55.798228;;;;0;;;
92325;;RDT Plateau Caillou;-21.019342,55.264695;;;;0;;;
6433;;Chapelle;-21.311015,55.801123;;;;0;;;
92332;;RDT Aire Du Tabac;-21.0985139,55.2662861;;;;0;;;
6435;;Ravine Ango;-21.352747,55.786233;;;;0;;;
92533;;RDT Colimaçons;-21.140858,55.28486;;;;0;;;
8030;;Anse Des Cascades;-21.177566,55.826772;;;;0;;;
92620;;Mairie Du Piton;-21.217131,55.309095;;;;0;;;
8120;;Ste-Rose;-21.127812,55.79201;;;;0;;;
92621;;Portail;-21.212511,55.302603;;;;0;;;
8232;;Bras Des Calumets;-21.154804,55.609112;;;;0;;;
92633;;Chemin A. Hoareau;-21.223937,55.316272;;;;0;;;
8250;;Plaine Des Palmistes;-21.135002,55.626417;;;;0;;;
92634;;Ravine Des Avirons;-21.245141,55.316573;;;;0;;;
8251;;Chemin de la Petite Plaine;-21.142928,55.620723;;;;0;;;
94033;;Sentier Des Pêcheurs;-21.237968,55.331104;;;;0;;;
8331;;Grand Etang;-21.095861,55.676775;;;;0;;;
94120;;Avenue De L'Océan;-21.265254,55.33541;;;;0;;;
8332;;Emile Passouka;-21.068843,55.704571;;;;0;;;
94330;;Aérodrome;-21.309929,55.433422;;;;0;;;
8430;;Giratoire Des Plaines;-21.048416,55.717885;;;;0;;;
94331;;Pierrefonds;-21.30389,55.429549;;;;0;;;
8520;;Coopérative De Vanille;-21.00033,55.686939;;;;0;;;
94410;;Gare De St-Pierre;-21.334183,55.471622;;;;0;;;
86101;;Gare De St-André;-20.9646,55.65278;;;;0;;;
94420;;Hôpital de Terre Sainte;-21.347481,55.49379;;;;0;;;
8620;;Poste Cambuston;-20.932067,55.643566;;;;0;;;
94422;;Stade Terre Sainte;-21.344508,55.492384;;;;0;;;
91010;;Gare De St-Denis;-20.877761,55.457426;;;;0;;;
94430;;Mairie Ann. Mont-Vert;-21.314171,55.542786;;;;0;;;
91020;;Barachois;-20.873565,55.446738;;;;0;;;
96031;;Rue Vienne;-21.254203,55.465572;;;;0;;;
91031;;Félix Guyon;-20.888353,55.446864;;;;0;;;
96110;;Gare Du Tampon;-21.279841,55.513611;;;;0;;;
91124;;Gymnase;-20.885353,55.479;;;;0;;;
96136;;Piton Terre Rouge;-21.305447,55.535477;;;;0;;;
91132;;Futura;-20.89778,55.476008;;;;0;;;
96210;;Gare St-Joseph;-21.378825,55.621162;;;;0;;;
91252;;Pôle D'échanges Duparc;-20.897657,55.521077;;;;0;;;
96320;;Eglise Vincendo;-21.3735,55.668537;;;;0;;;
912521;;Pôle D'échanges Duparc;-20.897657,55.521077;;;;0;;;
96330;;Cte. Multiservices;-21.38037,55.650779;;;;0;;;
92020;;Mairie De La Possession;-20.926376,55.334125;;;;0;;;
96430;;Souffleur D'Arbonne;-21.368427,55.736651;;;;0;;;
92030;;Super U;-20.944469,55.328375;;;;0;;;
96432;;Pointe Du Tremblet;-21.290787,55.798584;;;;0;;;
92121;;Rico Carpaye;-20.947013,55.298853;;;;0;;;
96433;;Chapelle;-21.311822,55.80106;;;;0;;;
92320;;St-Gilles Les Bains;-21.051269,55.224971;;;;0;;;
96436;;Poste Basse Vallée;-21.371548,55.711757;;;;0;;;
92322;;La Saline Les Bains;-21.093888,55.236572;;;;0;;;
98033;;Eglise Piton Ste-Rose;-21.160718,55.824085;;;;0;;;
92330;;Les Aigrettes;-21.038688,55.218722;;;;0;;;
98120;;Ste-Rose;-21.127753,55.792175;;;;0;;;
92430;;Grande Ravine;-21.129639,55.269653;;;;0;;;
98130;;Rivière De L'Est;-21.120778,55.759772;;;;0;;;
92531;;Gendarmerie De St-Leu;-21.179609,55.288052;;;;0;;;
98232;;Bras Des Calumets;-21.15477,55.609269;;;;0;;;
92623;;Piton Eglise;-21.21909,55.312175;;;;0;;;
98331;;Grand Etang;-21.095894,55.677977;;;;0;;;
92632;;Chemin Boussole;-21.228136,55.327883;;;;0;;;
98520;;Coopérative De Vanille;-20.999942,55.686503;;;;0;;;
94021;;Sentier Ady;-21.234289,55.330081;;;;0;;;
98550;;Mairie de Bras Panon;-20.994617,55.675825;;;;0;;;
94121;;Mairie De L'Etang-Salé;-21.265694,55.367;;;;0;;;
98610;;Gare De St-André;-20.9646,55.65278;;;;0;;;
94122;;RDT Etang-Salé;-21.265082,55.336836;;;;0;;;
98620;;Poste Cambuston;-20.932114,55.642909;;;;0;;;
94131;;Les Sables;-21.28001,55.375421;;;;0;;;
98842;;Les Azalées;-21.286181,55.515979;;;;0;;;
94320;;Allée Des Cèdres;-21.305946,55.428244;;;;0;;;
94321;;Aéroport Pierrefonds;-21.320105,55.429021;;;;0;;;
94520;;Croisée Petite-Ile;-21.367951,55.56823;;;;0;;;
94531;;R. Ancienne Usine;-21.330286,55.566757;;;;0;;;
94550;;Eglise Petite-Ile;-21.354028,55.565042;;;;0;;;
96120;;Université Du Tampon;-21.270726,55.507634;;;;0;;;
96130;;Village Du 14ème;-21.250776,55.521162;;;;0;;;
96132;;Maison Du Volcan;-21.202593,55.574027;;;;0;;;
96133;;Ecole Du 19ème;-21.238438,55.542192;;;;0;;;
96230;;Manapany Les Bains;-21.373572,55.595842;;;;0;;;
96231;;Lycée Agricole;-21.380369,55.608171;;;;0;;;
96420;;Mairie De St-Philippe;-21.359067,55.767851;;;;0;;;
96437;;Case Basse Vallée;-21.371479,55.717794;;;;0;;;
98030;;Anse Des Cascades;-21.177358,55.826848;;;;0;;;
98031;;Ste-Rose Bois Blanc;-21.197017,55.820452;;;;0;;;
98032;;Vierge Parasol;-21.220144,55.80702;;;;0;;;
98231;;Grotte De Lourdes;-21.133431,55.630494;;;;0;;;
98250;;Plaine Des Palmistes;-21.134977,55.62657;;;;0;;;
98320;;Pôle Sanitaire;-21.058629,55.711481;;;;0;;;
98330;;Chemin De Ceinture;-21.080515,55.690929;;;;0;;;
98332;;Emile Passouka;-21.068659,55.704693;;;;0;;;
98410;;Gare De St-Benoit;-21.039018,55.710038;;;;0;;;
98421;;Rivière Des Roches;-21.008716,55.698434;;;;0;;;
