Situé dans un parc national;Identifiant;Coordonnées géographiques;Appartient au patrimoine mondial;Lieu majeur;Nom du lieu remarquable;Accroche;Commune;Code INSEE de la commune;Lieu-dit;Caractéristiques;Accessible mobilité réduite ?
0;83;-21.292449,55.805539;0;1;Pointe du Tremblet;La Pointe du Tremblet est un cap du Sud-Est de La Réunion,;Saint-Philippe;97417;Tremblet;Lieu majeur;Non
0;84;-21.044,55.500461;1;1;Piton d'Anchaing;le Piton d'Anchaing culmine à 1356 mètres d'altitude;Salazie;97421;;Lieu majeur / Appartient au patrimoine mondial;Non
0;87;-20.908702,55.610549;0;1;Parc du Bocage;Aire de pique-nique et parc de jeux;Sainte-Suzanne;97420;;Lieu majeur;Non
0;88;-21.09844,55.266352;0;1;L'aire du Tabac;Un point du vue d'exception le long de la route des Tamarins;Saint-Paul;97415;;Lieu majeur;Oui
0;89;-21.047896,55.256949;0;1;Bassin Bleu;Un bassin dans les anciennes coulées de lave;Etang-Salé;97404;;Lieu majeur;Non
0;90;-20.972458,55.524238;0;1;Plaine des Fougères;;Sainte-Marie;97418;;Lieu majeur;Non
;97;-21.233717,55.699284;;0;Chapelle de Rosemont;;Tampon (Le);97422;;;Non
;103;-21.222292,55.689;;0;Départ sentier enclos;;Tampon (Le);97422;;;Non
;110;-21.248714,55.699585;;0;Cratère Caubet;;Tampon (Le);97422;;;Non
;114;-21.259039,55.69934;;0;Cratère Cassien;;Tampon (Le);97422;;;Non
;116;-21.262945,55.711746;;0;Cratère Thérésien Cadet;;Tampon (Le);97422;;;Non
;121;-21.076994,55.423048;;0;La Nouvelle;;Possession (La);97408;;;Non
;122;-21.10327,55.432635;;0;Marla;;Possession (La);97408;;;Non
;133;-21.18074,55.534771;;0;Grand Bassin;;Tampon (Le);97422;;;Non
;134;-20.875438,55.446088;;0;Hotel de la Préfecture;;Saint-Denis;97411;;;Non
;135;-21.10327,55.432635;;0;Marla;;Saint-Paul;97415;;;Non
;136;-21.090171,55.41182;;0;Trois Roches;;Saint-Paul;97415;;;Non
;138;-21.069065,55.404718;;0;Roche Plate;;Saint-Paul;97415;;;Non
;141;-21.026496,55.428117;;0;Ilet à Malheur;;Possession (La);97408;;;Non
